Name,Description,Labels,List
"Board setup + labels","Checklist:\n- [ ] Créer labels Backend Frontend Fullstack QA DevOps Documentation Critical High Medium Low\n- [ ] Vérifier colonnes du board\n- [ ] Définir règle 1 carte = 1 livrable testable","Documentation,High","Project Resources"
"Definition of Done (global)","Checklist:\n- [ ] Fonctionnel validé\n- [ ] Tests manuels passés\n- [ ] Pas de régression visible\n- [ ] Gestion erreurs/loading couverte\n- [ ] Preuve jointe (capture/lien PR)","Documentation,High","Project Resources"
"Ressources projet","Checklist:\n- [ ] Lier Backend/README.md\n- [ ] Lier Backend/API_DOCUMENTATION.md\n- [ ] Lier TODO.md\n- [ ] Ajouter conventions de nommage cartes","Documentation,Medium","Project Resources"

"Décider stratégie upload images","Question: stockage local, Cloudinary ou S3 ?\nChecklist:\n- [ ] Choix validé\n- [ ] Budget/limites définis\n- [ ] Impact backend/frontend validé","Fullstack,High","Questions For Next Meeting"
"Décider priorité WebSocket","Question: activer chat temps réel en v1 ou v1.1 ?\nChecklist:\n- [ ] Priorité validée\n- [ ] Estimation charge validée\n- [ ] Dépendances techniques listées","Fullstack,Medium","Questions For Next Meeting"
"Décider cible de déploiement","Question: Render, Railway, VPS ou autre ?\nChecklist:\n- [ ] Environnement choisi\n- [ ] Coût estimé\n- [ ] Plan CI/CD aligné","DevOps,Medium","Questions For Next Meeting"

"Auth JWT robuste (register/login/me)","Checklist:\n- [ ] Valider POST /api/auth/register\n- [ ] Valider POST /api/auth/login\n- [ ] Valider GET /api/auth/me\n- [ ] Uniformiser erreurs 400 401 403","Backend,Critical","To Do"
"Standardiser DTO d'inscription","Checklist:\n- [ ] Remplacer incohérence RegisterRequest vs UserDto\n- [ ] Adapter mapping service\n- [ ] Mettre à jour docs API","Backend,High","To Do"
"Profil utilisateur étendu backend","Checklist:\n- [ ] Ajouter phone bio avatar username city\n- [ ] Étendre DTO User\n- [ ] Mettre à jour validations","Backend,High","To Do"
"Endpoint changement mot de passe","Checklist:\n- [ ] Créer PUT /api/users/me/password\n- [ ] Vérifier ancien mot de passe\n- [ ] Ajouter validations de sécurité","Backend,High","To Do"
"Enrichir modèle Property","Checklist:\n- [ ] Ajouter bedrooms bathrooms area type\n- [ ] Ajouter amenities available currency badge rating\n- [ ] Mettre à jour PropertyRequest/PropertyResponse","Backend,Critical","To Do"
"Créer GET /api/listings/mine","Checklist:\n- [ ] Controller + service + repository\n- [ ] Filtre host authentifié\n- [ ] Tests de sécurité rôle","Backend,Critical","To Do"
"Booking enrichi domaine","Checklist:\n- [ ] Ajouter totalPrice guests createdAt\n- [ ] Mettre à jour BookingResponse\n- [ ] Valider règles métier","Backend,Critical","To Do"
"Étendre BookingStatus","Checklist:\n- [ ] Ajouter REJECTED\n- [ ] Ajouter COMPLETED\n- [ ] Vérifier transitions de statut","Backend,High","To Do"
"BookingResponse enrichie","Checklist:\n- [ ] Inclure listingTitle listingImage listingLocation\n- [ ] Inclure totalPrice createdAt\n- [ ] Réduire N+1 côté frontend","Backend,High","To Do"
"Implémenter wishlist backend","Checklist:\n- [ ] Créer entité Favorite\n- [ ] Ajouter endpoints CRUD wishlist\n- [ ] Ajouter contrôle d'accès","Backend,High","To Do"
"Dashboard admin summary endpoint","Checklist:\n- [ ] Définir KPIs\n- [ ] Ajouter endpoint summary\n- [ ] Tester rôle ADMIN","Backend,Medium","To Do"
"Corriger CORS ports frontend","Checklist:\n- [ ] Ajouter port 5174\n- [ ] Vérifier preflight OPTIONS\n- [ ] Tester login depuis frontend","Backend,Critical","To Do"
"Brancher MyPropertiesPage sur /mine","Checklist:\n- [ ] Adapter propertyService.listMine\n- [ ] Adapter page my-properties\n- [ ] Gérer état vide","Frontend,High","To Do"
"Brancher Settings changement mdp","Checklist:\n- [ ] Appel API update password\n- [ ] Feedback succès/erreur\n- [ ] Disable submit pendant requête","Frontend,High","To Do"
"Brancher WishlistPage persistante","Checklist:\n- [ ] Appeler wishlistService.list\n- [ ] Ajouter add/remove depuis cards\n- [ ] Gérer erreurs API","Frontend,High","To Do"
"Brancher Reviews dans PropertyDetails","Checklist:\n- [ ] Lister avis\n- [ ] Poster avis\n- [ ] Rafraîchir après submit","Frontend,Medium","To Do"
"Gestion erreurs globale frontend","Checklist:\n- [ ] Ajouter toast global\n- [ ] Mapper erreurs API\n- [ ] Uniformiser messages","Frontend,High","To Do"
"Loading states manquants","Checklist:\n- [ ] WishlistPage\n- [ ] SettingsPage\n- [ ] ProfilePage","Frontend,Medium","To Do"
"Pagination listings + bookings","Checklist:\n- [ ] Backend page size sort\n- [ ] Frontend pagination UI\n- [ ] Tester navigation","Fullstack,Medium","To Do"
"Tests backend services/controllers","Checklist:\n- [ ] AuthService\n- [ ] PropertyService\n- [ ] BookingService\n- [ ] Security roles","Backend,QA,High","To Do"
"Tests E2E parcours critique","Checklist:\n- [ ] Register/login/logout\n- [ ] Create listing\n- [ ] Booking flow\n- [ ] Wishlist flow","QA,High","To Do"
"Pipeline CI build + tests","Checklist:\n- [ ] Build backend\n- [ ] Build frontend\n- [ ] Exécuter tests\n- [ ] Bloquer merge si échec","DevOps,Medium","To Do"
"Release v1 checklist","Checklist:\n- [ ] Smoke tests\n- [ ] Notes de version\n- [ ] Tag release","Fullstack,DevOps,High","To Do"

"Connecter upload images frontend","Dépend de la carte backend endpoint upload images.","Frontend,High","Pending"
"Messagerie temps réel WebSocket","Dépend de l'implémentation backend WebSocket.","Fullstack,Low","Pending"
"Dashboard admin UI final","Dépend du endpoint admin summary réel.","Frontend,Medium","Pending"
"Déploiement production","Dépend de la décision infra et des secrets.","DevOps,High","Pending"

"Choix stockage images non validé","Bloqué par décision produit/infra.","Blocked,High","Blocked"
"Compte cloud cible non disponible","Bloqué par accès owner projet.","Blocked,Medium","Blocked"

"Initialiser board Trello","Board créé avec les 6 listes demandées.","Documentation,Done","Done"
"Importer backlog CSV","Fichier importé et cartes visibles.","Documentation,Done","Done"
